,weather_grid,fips,county,state
22283,20172,31125,Nance,NE
22280,20173,31125,Nance,NE
22296,20174,31141,Platte,NE
22291,20175,31141,Platte,NE
22305,20176,31023,Butler,NE
22302,20177,31155,Saunders,NE
22314,20178,31155,Saunders,NE
22312,20179,31055,Douglas,NE
22327,20180,31055,Douglas,NE
22325,20181,19155,Pottawattamie,IA
22322,20182,19155,Pottawattamie,IA
22335,20183,19155,Pottawattamie,IA
22333,20184,19029,Cass,IA
22340,20185,19029,Cass,IA
22339,20186,19001,Adair,IA
22346,20187,19001,Adair,IA
22345,20188,19121,Madison,IA
22360,20189,19121,Madison,IA
22358,20190,19181,Warren,IA
22356,20191,19181,Warren,IA
22367,20192,19125,Marion,IA
22365,20193,19125,Marion,IA
22374,20194,19123,Mahaska,IA
22372,20195,19107,Keokuk,IA
22379,20196,19107,Keokuk,IA
22378,20197,19183,Washington,IA
22386,20198,19183,Washington,IA
22382,20199,19115,Louisa,IA
22403,20200,19139,Muscatine,IA
22397,20201,17161,Rock Island,IL
22394,20202,17161,Rock Island,IL
22410,20203,17073,Henry,IL
22407,20204,17073,Henry,IL
22416,20205,17073,Henry,IL
22414,20206,17011,Bureau,IL
22422,20207,17011,Bureau,IL
22421,20208,17099,LaSalle,IL
22437,20209,17099,LaSalle,IL
22436,20210,17099,LaSalle,IL
