,weather_grid,fips,county,state
2950,21246,41015,Curry,OR
23438,21247,41015,Curry,OR
1396,21248,41015,Curry,OR
23451,21249,41015,Curry,OR
206,21250,41033,Josephine,OR
23449,21251,41033,Josephine,OR
1395,21252,41029,Jackson,OR
23462,21253,41029,Jackson,OR
2951,21254,41029,Jackson,OR
23472,21255,41029,Jackson,OR
23478,21256,41035,Klamath,OR
1392,21257,41035,Klamath,OR
23484,21258,41035,Klamath,OR
208,21259,41035,Klamath,OR
23491,21260,41035,Klamath,OR
119,21261,41037,Lake,OR
23490,21262,41037,Lake,OR
2952,21263,41037,Lake,OR
23499,21264,41037,Lake,OR
23505,21265,41037,Lake,OR
1390,21266,41037,Lake,OR
23511,21267,41037,Lake,OR
210,21268,41025,Harney,OR
23520,21269,41025,Harney,OR
1389,21270,41025,Harney,OR
23519,21271,41025,Harney,OR
2953,21272,41045,Malheur,OR
23527,21273,41045,Malheur,OR
1388,21274,41045,Malheur,OR
23533,21275,41045,Malheur,OR
23539,21276,41045,Malheur,OR
211,21277,16073,Owyhee,ID
23546,21278,16073,Owyhee,ID
117,21279,16073,Owyhee,ID
23556,21280,16073,Owyhee,ID
2955,21281,16073,Owyhee,ID
23555,21282,16073,Owyhee,ID
1387,21283,16073,Owyhee,ID
23567,21284,16073,Owyhee,ID
23576,21285,16083,Twin Falls,ID
212,21286,16083,Twin Falls,ID
23585,21287,16053,Jerome,ID
1386,21288,16053,Jerome,ID
23602,21289,16067,Minidoka,ID
2957,21290,16067,Minidoka,ID
23598,21291,16031,Cassia,ID
1381,21292,16077,Power,ID
23613,21293,16077,Power,ID
215,21294,16077,Power,ID
23625,21295,16005,Bannock,ID
23636,21296,16005,Bannock,ID
115,21297,16029,Caribou,ID
23645,21298,16029,Caribou,ID
2958,21299,16029,Caribou,ID
23658,21300,16029,Caribou,ID
1380,21301,56023,Lincoln,WY
23657,21302,56023,Lincoln,WY
216,21303,56035,Sublette,WY
23669,21304,56035,Sublette,WY
23677,21305,56035,Sublette,WY
1379,21306,56035,Sublette,WY
23686,21307,56035,Sublette,WY
2960,21308,56035,Sublette,WY
23696,21309,56013,Fremont,WY
1378,21310,56013,Fremont,WY
23695,21311,56013,Fremont,WY
217,21312,56013,Fremont,WY
23705,21313,56013,Fremont,WY
114,21314,56013,Fremont,WY
23713,21315,56025,Natrona,WY
23722,21316,56025,Natrona,WY
