internal_name,external_name,data_type,data_source,source_table,depth_weight,monthly,horizontal,condensed_ssurgo,condensed_nhd,flow_file,pwc_ssurgo,sam_ssurgo,pwc_scenario,sam_scenario,range_min,range_max,general_min,general_max,range_flag,general_flag,blank_flag,fill_value
cn_ag_D,cn_ag_D,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_A,cn_fallow_A,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_B,cn_fallow_B,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_C,cn_fallow_C,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cn_fallow_D,cn_fallow_D,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
cokey,cokey,str,SSURGO,component,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,comid,str,NHD,EROM,0,0,0,0,1,1,0,0,0,0,,,,,,,,
comid,comid,str,NHD,Flowline,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,featureid,str,NHD,Gridcode,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,fromcomid,str,NHD,PlusFlow,0,0,0,0,0,0,0,0,0,0,,,,,,,,
comid,comid,str,NHD,VAA,0,0,0,0,0,0,0,0,0,0,,,,,,,,
component_pct,comppct_r,np.float32,SSURGO,component,0,0,0,0,0,0,0,0,0,0,,,,,,,,
desgnmaster,desgnmaster,np.float32,SSURGO,chorizon,0,0,1,0,0,0,0,0,0,0,,,,,,,,
divergence,divergence,np.int16,NHD,VAA,0,0,0,0,1,0,0,0,0,0,,,,,,,,
fcode,fcode,str,NHD,Flowline,0,0,0,0,1,0,0,0,0,0,,,,,,,,
gen_class,CDLcls,np.int32,Tables,CropDates,0,0,0,0,0,0,0,0,0,0,,,,,,,,
gen_class,gen_class,np.int32,Tables,CurveNumbers,0,0,0,0,0,0,0,0,0,0,,,,,,,,
gridcode,gridcode,str,NHD,Gridcode,0,0,0,0,1,0,0,0,0,0,,,,,,,,
horizon_bottom,hzdepb_r,np.float32,SSURGO,chorizon,0,0,1,0,0,0,0,0,0,0,,,,,,,,
horizon_top,hzdept_r,np.float32,SSURGO,chorizon,0,0,1,0,0,0,0,0,0,0,,,,,,,,
hydro_group_dominant,hydgrpdcd,str,SSURGO,muaggatt,0,0,0,0,0,0,0,0,0,0,,,,,,,,
hydroseq,hydroseq,np.int64,NHD,VAA,0,0,0,0,1,0,0,0,0,0,,,,,,,,
lengthkm,lengthkm,np.float32,NHD,VAA,0,0,0,0,1,0,0,0,0,0,,,,,,,,
major_component,majcompflag,str,SSURGO,component,0,0,0,0,0,0,0,0,0,0,,,,,,,,
mukey,mukey,str,SSURGO,muaggatt,0,0,0,0,0,0,0,0,0,0,,,,,,,,
mukey,mukey,str,SSURGO,valu1,0,0,0,0,0,0,0,0,0,0,,,,,,,,
muname,muname,str,SSURGO,muaggatt,0,0,0,1,0,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
overlay,overlay,np.int8,scenarios_and_recipes.py,None,0,0,0,0,0,0,0,0,0,1,,,,,,,,
q,q0001e,np.float32,NHD,EROM,0,1,0,0,1,1,0,0,0,0,,,,,,,,
streamcalc,streamcalc,np.int16,NHD,VAA,0,0,0,0,1,0,0,0,0,0,,,,,,,,
surface_area,surface_area,np.float32,NHD,None,0,0,0,0,0,1,0,0,0,0,,,,,,,,
terminal_path,terminalpa,np.int32,NHD,VAA,0,0,0,0,1,0,0,0,0,0,,,,,,,,
tocomid,tocomid,str,NHD,PlusFlow,0,0,0,0,1,0,0,0,0,0,,,,,,,,
v,v0001e,np.float32,NHD,EROM,0,1,0,0,1,0,0,0,0,0,,,,,,,,
wb_comid,wbareacomi,str,NHD,Flowline,0,0,0,0,1,0,0,0,0,0,,,,,,,,
state,STATE,str,States,None,0,0,0,0,0,0,0,0,0,0,,,,,,,,
