cdl,cdl_name,cintcp,covmax,amxdr,cfact_fal,cfact_cov,mannings_n,double_crop_a,double_crop_b,cultivated
245,Celery,0.2,60,38,0.688,0.09,0.014,,,1
246,Radishes,0.2,60,38,0.688,0.09,0.014,,,1
247,Turnips,0.2,60,38,0.688,0.09,0.014,,,1
248,Eggplants,0.2,60,38,0.688,0.09,0.014,,,1
249,Gourds,0.2,60,38,0.688,0.09,0.014,,,1
250,Cranberries,0.1,60,30,0.688,0.09,0.014,,,1
254,Dbl Crop Barley/Soybeans,,,,,,,21,5,1
37,Other Hay/Non Alfalfa,0.2,90,30,0.004,0.001,0.11,,,0
59,Sod/Grass Seed,0.2,90,30,0.004,0.001,0.11,,,0
60,Switchgrass,0.2,90,30,0.004,0.001,0.11,,,0
63,Forest,0.25,100,66,0.025,0.006,0.04,,,0
64,Shrubland,0.2,90,30,0.004,0.001,0.11,,,0
65,Barren,0,0,0,1,1,0.011,,,0
81,Clouds/No Data,0,0,0,1,1,0.011,,,0
82,Developed,0.15,100,15,0.004,0.001,0.11,,,0
83,Water,0,0,0,0,0,0,,,0
87,Wetlands,0.2,90,30,0.004,0.001,0.11,,,0
88,Nonag/Undefined,0,0,0,1,1,0.011,,,0
92,Aquaculture,,,,,,,,,0
111,Open Water,,,,,,,,,0
112,Perennial Ice/Snow,0,0,0,1,1,0.011,,,0
121,Developed/Open Space,0.15,100,15,0.004,0.001,0.11,,,0
122,Developed/Low Intensity,0.15,100,15,0.004,0.001,0.11,,,0
123,Developed/Med Intensity,0.15,100,15,0.004,0.001,0.11,,,0
124,Developed/High Intensity,0.15,100,15,0.004,0.001,0.11,,,0
131,Barren,0,0,0,1,1,0.011,,,0
141,Deciduous Forest,0.25,100,66,0.025,0.006,0.04,,,0
142,Evergreen Forest,0.25,100,66,0.025,0.006,0.04,,,0
143,Mixed Forest,0.25,100,66,0.025,0.006,0.04,,,0
152,Shrubland,0.2,90,30,0.004,0.001,0.11,,,0
176,Grass/Pasture,0.2,90,30,0.004,0.001,0.11,,,0
190,Woody Wetlands,0.2,90,30,0.004,0.001,0.11,,,0
195,Herbaceous Wetlands,0.2,90,30,0.004,0.001,0.11,,,0
