weather_grid (Trip)	stationID (Meridith)	lat	lon
222	8131	28.625	-99.375
158	7489	27.875	-82.875
221	8130	28.625	-99.625
220	8129	28.625	-99.875
142	7261	27.625	-80.875
219	8128	28.625	-100.125
218	8127	28.625	-100.375
159	7490	27.875	-82.625
143	7262	27.625	-80.625
160	7491	27.875	-82.375
144	7263	27.625	-80.375
161	7492	27.875	-82.125
162	7493	27.875	-81.875
163	7494	27.875	-81.625
263	8380	28.875	-96.125
264	8381	28.875	-95.875
262	8379	28.875	-96.375
265	8382	28.875	-95.625
261	8378	28.875	-96.625
266	8383	28.875	-95.375
260	8377	28.875	-96.875
164	7495	27.875	-81.375
259	8376	28.875	-97.125
258	8375	28.875	-97.375
257	8374	28.875	-97.625
256	8373	28.875	-97.875
255	8372	28.875	-98.125
254	8371	28.875	-98.375
253	8370	28.875	-98.625
252	8369	28.875	-98.875
165	7496	27.875	-81.125
251	8368	28.875	-99.125
250	8367	28.875	-99.375
183	7725	28.125	-82.875
249	8366	28.875	-99.625
248	8365	28.875	-99.875
166	7497	27.875	-80.875
247	8364	28.875	-100.125
184	7726	28.125	-82.625
246	8363	28.875	-100.375
167	7498	27.875	-80.625
185	7727	28.125	-82.375
168	7499	27.875	-80.375
186	7728	28.125	-82.125
187	7729	28.125	-81.875
267	8407	28.875	-89.375
188	7730	28.125	-81.625
297	8616	29.125	-96.125
298	8617	29.125	-95.875
296	8615	29.125	-96.375
299	8618	29.125	-95.625
189	7731	28.125	-81.375
295	8614	29.125	-96.625
300	8619	29.125	-95.375
294	8613	29.125	-96.875
301	8620	29.125	-95.125
293	8612	29.125	-97.125
302	8621	29.125	-94.875
292	8611	29.125	-97.375
291	8610	29.125	-97.625
290	8609	29.125	-97.875
289	8608	29.125	-98.125
288	8607	29.125	-98.375
287	8606	29.125	-98.625
190	7732	28.125	-81.125
286	8605	29.125	-98.875
285	8604	29.125	-99.125
284	8603	29.125	-99.375
283	8602	29.125	-99.625
282	8601	29.125	-99.875
191	7733	28.125	-80.875
281	8600	29.125	-100.125
209	7962	28.375	-82.625
280	8599	29.125	-100.375
279	8598	29.125	-100.625
192	7734	28.125	-80.625
303	8636	29.125	-91.125
210	7963	28.375	-82.375
304	8637	29.125	-90.875
305	8638	29.125	-90.625
211	7964	28.375	-82.125
306	8640	29.125	-90.125
212	7965	28.375	-81.875
307	8643	29.125	-89.375
213	7966	28.375	-81.625
308	8644	29.125	-89.125
278	8588	29.125	-103.125
214	7967	28.375	-81.375
343	8852	29.375	-96.125
344	8853	29.375	-95.875
342	8851	29.375	-96.375
345	8854	29.375	-95.625
277	8587	29.125	-103.375
341	8850	29.375	-96.625
346	8855	29.375	-95.375
340	8849	29.375	-96.875
347	8856	29.375	-95.125
339	8848	29.375	-97.125
348	8857	29.375	-94.875
338	8847	29.375	-97.375
349	8858	29.375	-94.625
337	8846	29.375	-97.625
336	8845	29.375	-97.875
335	8844	29.375	-98.125
334	8843	29.375	-98.375
215	7968	28.375	-81.125
333	8842	29.375	-98.625
332	8841	29.375	-98.875
331	8840	29.375	-99.125
330	8839	29.375	-99.375
329	8838	29.375	-99.625
216	7969	28.375	-80.875
328	8837	29.375	-99.875
327	8836	29.375	-100.125
237	8198	28.625	-82.625
326	8835	29.375	-100.375
325	8834	29.375	-100.625
350	8871	29.375	-91.375
217	7970	28.375	-80.625
324	8833	29.375	-100.875
351	8872	29.375	-91.125
238	8199	28.625	-82.375
352	8873	29.375	-90.875
353	8874	29.375	-90.625
239	8200	28.625	-82.125
354	8875	29.375	-90.375
355	8876	29.375	-90.125
356	8877	29.375	-89.875
240	8201	28.625	-81.875
357	8878	29.375	-89.625
358	8879	29.375	-89.375
241	8202	28.625	-81.625
323	8825	29.375	-102.875
359	8880	29.375	-89.125
322	8824	29.375	-103.125
242	8203	28.625	-81.375
397	9088	29.625	-96.125
398	9089	29.625	-95.875
321	8823	29.375	-103.375
396	9087	29.625	-96.375
399	9090	29.625	-95.625
395	9086	29.625	-96.625
400	9091	29.625	-95.375
394	9085	29.625	-96.875
401	9092	29.625	-95.125
393	9084	29.625	-97.125
402	9093	29.625	-94.875
392	9083	29.625	-97.375
403	9094	29.625	-94.625
391	9082	29.625	-97.625
404	9095	29.625	-94.375
390	9081	29.625	-97.875
405	9096	29.625	-94.125
320	8822	29.375	-103.625
389	9080	29.625	-98.125
406	9097	29.625	-93.875
388	9079	29.625	-98.375
243	8204	28.625	-81.125
387	9078	29.625	-98.625
319	8821	29.375	-103.875
386	9077	29.625	-98.875
385	9076	29.625	-99.125
407	9101	29.625	-92.875
384	9075	29.625	-99.375
408	9102	29.625	-92.625
383	9074	29.625	-99.625
409	9103	29.625	-92.375
244	8205	28.625	-80.875
382	9073	29.625	-99.875
410	9104	29.625	-92.125
381	9072	29.625	-100.125
411	9105	29.625	-91.875
268	8434	28.875	-82.625
380	9071	29.625	-100.375
412	9106	29.625	-91.625
245	8206	28.625	-80.625
379	9070	29.625	-100.625
413	9107	29.625	-91.375
378	9069	29.625	-100.875
414	9108	29.625	-91.125
269	8435	28.875	-82.375
377	9068	29.625	-101.125
415	9109	29.625	-90.875
416	9110	29.625	-90.625
270	8436	28.875	-82.125
417	9111	29.625	-90.375
418	9112	29.625	-90.125
419	9113	29.625	-89.875
271	8437	28.875	-81.875
420	9114	29.625	-89.625
272	8438	28.875	-81.625
376	9061	29.625	-102.875
375	9060	29.625	-103.125
273	8439	28.875	-81.375
374	9059	29.625	-103.375
468	9324	29.875	-96.125
469	9325	29.875	-95.875
467	9323	29.875	-96.375
470	9326	29.875	-95.625
466	9322	29.875	-96.625
471	9327	29.875	-95.375
465	9321	29.875	-96.875
472	9328	29.875	-95.125
464	9320	29.875	-97.125
473	9329	29.875	-94.875
463	9319	29.875	-97.375
474	9330	29.875	-94.625
462	9318	29.875	-97.625
475	9331	29.875	-94.375
309	8668	29.125	-83.125
461	9317	29.875	-97.875
476	9332	29.875	-94.125
373	9058	29.625	-103.625
460	9316	29.875	-98.125
477	9333	29.875	-93.875
274	8440	28.875	-81.125
459	9315	29.875	-98.375
478	9334	29.875	-93.625
458	9314	29.875	-98.625
479	9335	29.875	-93.375
372	9057	29.625	-103.875
457	9313	29.875	-98.875
480	9336	29.875	-93.125
456	9312	29.875	-99.125
481	9337	29.875	-92.875
310	8669	29.125	-82.875
455	9311	29.875	-99.375
482	9338	29.875	-92.625
371	9056	29.625	-104.125
275	8441	28.875	-80.875
454	9310	29.875	-99.625
483	9339	29.875	-92.375
453	9309	29.875	-99.875
484	9340	29.875	-92.125
370	9055	29.625	-104.375
311	8670	29.125	-82.625
452	9308	29.875	-100.125
485	9341	29.875	-91.875
451	9307	29.875	-100.375
486	9342	29.875	-91.625
276	8442	28.875	-80.625
450	9306	29.875	-100.625
487	9343	29.875	-91.375
312	8671	29.125	-82.375
449	9305	29.875	-100.875
488	9344	29.875	-91.125
448	9304	29.875	-101.125
489	9345	29.875	-90.875
447	9303	29.875	-101.375
490	9346	29.875	-90.625
313	8672	29.125	-82.125
446	9302	29.875	-101.625
491	9347	29.875	-90.375
445	9301	29.875	-101.875
492	9348	29.875	-90.125
314	8673	29.125	-81.875
444	9300	29.875	-102.125
493	9349	29.875	-89.875
